meter_id,dt_id,zone,score,risk_level,is_fraud_groundtruth
H82413,DT-448,Koramangala,0.7604547253655637,High,1
M02401,DT-448,Koramangala,0.44423763345493567,Low,0
M02430,DT-448,Koramangala,0.4912024704459017,Low,0
M02412,DT-448,Koramangala,0.44614352128775986,Low,0
M02416,DT-448,Koramangala,0.383450556172158,Low,0
M02417,DT-448,Koramangala,0.4144402785523401,Low,0
M02449,DT-448,Koramangala,0.427816134532983,Low,0
M02448,DT-448,Koramangala,0.4754475979758842,Low,0
M02440,DT-448,Koramangala,0.4656171371508642,Low,0
M02446,DT-448,Koramangala,0.4028364400716097,Low,0
M02403,DT-448,Koramangala,0.5576657242481438,Medium,0
M02437,DT-448,Koramangala,0.45596357459008036,Low,0
M02419,DT-448,Koramangala,0.43645092765988935,Low,0
M02410,DT-448,Koramangala,0.4243388378793622,Low,0
M02402,DT-448,Koramangala,0.40029125460322834,Low,0
M02414,DT-448,Koramangala,0.4489229700146392,Low,0
M02429,DT-448,Koramangala,0.4685834177562312,Low,0
M02418,DT-448,Koramangala,0.49904708860583175,Low,0
M02407,DT-448,Koramangala,0.4372900517417018,Low,0
M02411,DT-448,Koramangala,0.3796825098939938,Low,0
M02431,DT-448,Koramangala,0.4803405470254276,Low,0
M02400,DT-448,Koramangala,0.4338044277019196,Low,0
M02427,DT-448,Koramangala,0.4067568000238015,Low,0
M02421,DT-448,Koramangala,0.4168781600242749,Low,0
M02405,DT-448,Koramangala,0.4157301322001931,Low,0
M02425,DT-448,Koramangala,0.41430801542262946,Low,0
M02422,DT-448,Koramangala,0.4261938183941679,Low,0
M02435,DT-448,Koramangala,0.5512759431113596,Medium,0
M02415,DT-448,Koramangala,0.41431714901644023,Low,0
M02439,DT-448,Koramangala,0.39454213953682155,Low,0
M02443,DT-448,Koramangala,0.39392461604118506,Low,0
M02409,DT-448,Koramangala,0.4539705495527195,Low,0
M02436,DT-448,Koramangala,0.45553573976628314,Low,0
M02434,DT-448,Koramangala,0.42857386703727623,Low,0
M02432,DT-448,Koramangala,0.4249029150318475,Low,0
M02426,DT-448,Koramangala,0.42134585130721824,Low,0
M02424,DT-448,Koramangala,0.4163632288789439,Low,0
M02408,DT-448,Koramangala,0.41531778069979275,Low,0
M02404,DT-448,Koramangala,0.4268635887253432,Low,0
M02445,DT-448,Koramangala,0.4149969649435879,Low,0
M02442,DT-448,Koramangala,0.39319853728240517,Low,0
M02438,DT-448,Koramangala,0.5229727358432137,Low,0
M02433,DT-448,Koramangala,0.4177011073186692,Low,0
M02444,DT-448,Koramangala,0.38124403440412336,Low,0
M02423,DT-448,Koramangala,0.40777556928533787,Low,0
M02428,DT-448,Koramangala,0.3932791234812028,Low,0
M02447,DT-448,Koramangala,0.4544715560428678,Low,0
M02441,DT-448,Koramangala,0.3859643342572231,Low,0
M02406,DT-448,Koramangala,0.5082325971234124,Low,0
M02420,DT-448,Koramangala,0.3838235910468516,Low,0
H82998,DT-459,Koramangala,0.6745942487695118,Medium,1
H82990,DT-459,Koramangala,0.7543055626553468,High,1
M02966,DT-459,Koramangala,0.41318852051815436,Low,0
M02975,DT-459,Koramangala,0.4127646892579025,Low,0
M02970,DT-459,Koramangala,0.39877749366906723,Low,0
M02977,DT-459,Koramangala,0.3942313380011689,Low,0
M02954,DT-459,Koramangala,0.4392996379042987,Low,0
M02981,DT-459,Koramangala,0.42024050530324514,Low,0
M02995,DT-459,Koramangala,0.4609126811631495,Low,0
M02988,DT-459,Koramangala,0.4151185760650336,Low,0
M02957,DT-459,Koramangala,0.45505696851365174,Low,0
M02961,DT-459,Koramangala,0.4793788379062669,Low,0
M02962,DT-459,Koramangala,0.4323153484484922,Low,0
M02968,DT-459,Koramangala,0.4680879049633918,Low,0
M02955,DT-459,Koramangala,0.4077473209810434,Low,0
M02985,DT-459,Koramangala,0.4251698392108358,Low,0
M02999,DT-459,Koramangala,0.42385629779744777,Low,0
M02991,DT-459,Koramangala,0.4837786519316385,Low,0
