meter_id,dt_id,feeder_id,zone,sanctioned_load,tariff_type,lat,long
M00000,DT-400,FDR-001,RR_Nagar,1.1,LT2-domestic,12.822579,77.419174
M00001,DT-400,FDR-001,RR_Nagar,2.8,LT2-domestic,12.823045,77.419469
M00002,DT-400,FDR-001,RR_Nagar,4.0,LT2-domestic,12.822822,77.418666
M00003,DT-400,FDR-001,RR_Nagar,1.8,LT2-domestic,12.82237,77.419981
M00004,DT-400,FDR-001,RR_Nagar,3.7,LT2-domestic,12.821559,77.419008
M00005,DT-400,FDR-001,RR_Nagar,2.2,LT2-domestic,12.822818,77.420092
M00006,DT-400,FDR-001,RR_Nagar,11.6,LT5-commercial,12.822602,77.41992
M00007,DT-400,FDR-001,RR_Nagar,4.5,LT2-domestic,12.822811,77.419355
M00008,DT-400,FDR-001,RR_Nagar,3.8,LT2-domestic,12.821488,77.417762
M00009,DT-400,FDR-001,RR_Nagar,2.2,LT2-domestic,12.822527,77.418694
M00010,DT-400,FDR-001,RR_Nagar,3.8,LT2-domestic,12.822253,77.419034
M00011,DT-400,FDR-001,RR_Nagar,1.4,LT2-domestic,12.822499,77.418961
M00012,DT-400,FDR-001,RR_Nagar,1.3,LT2-domestic,12.8215,77.419854
M00013,DT-400,FDR-001,RR_Nagar,4.5,LT2-domestic,12.822901,77.41981
M00014,DT-400,FDR-001,RR_Nagar,1.7,LT2-domestic,12.821601,77.418322
M00015,DT-400,FDR-001,RR_Nagar,3.4,LT2-domestic,12.823584,77.419025
M00016,DT-400,FDR-001,RR_Nagar,4.8,LT2-domestic,12.822643,77.416445
M00017,DT-400,FDR-001,RR_Nagar,4.9,LT2-domestic,12.823351,77.418342
M00018,DT-400,FDR-001,RR_Nagar,1.9,LT2-domestic,12.821344,77.419845
M00019,DT-400,FDR-001,RR_Nagar,4.5,LT2-domestic,12.821161,77.419271
M00020,DT-400,FDR-001,RR_Nagar,1.9,LT2-domestic,12.823037,77.419006
M00021,DT-400,FDR-001,RR_Nagar,4.1,LT2-domestic,12.820358,77.418862
M00022,DT-400,FDR-001,RR_Nagar,3.2,LT2-domestic,12.823271,77.419713
H80023,DT-400,FDR-001,RR_Nagar,2.3,LT2-domestic,12.823379,77.420286
M00024,DT-400,FDR-001,RR_Nagar,4.8,LT2-domestic,12.821514,77.419961
M00025,DT-400,FDR-001,RR_Nagar,4.4,LT2-domestic,12.820835,77.418493
M00026,DT-400,FDR-001,RR_Nagar,2.5,LT2-domestic,12.822229,77.419246
M00027,DT-400,FDR-001,RR_Nagar,2.8,LT2-domestic,12.821921,77.419005
M00028,DT-400,FDR-001,RR_Nagar,1.8,LT2-domestic,12.822856,77.419393
H80029,DT-400,FDR-001,RR_Nagar,2.2,LT2-domestic,12.822797,77.419463
M00030,DT-400,FDR-001,RR_Nagar,2.7,LT2-domestic,12.820897,77.418767
M00031,DT-400,FDR-001,RR_Nagar,47.7,LT5-commercial,12.8216,77.419243
M00032,DT-400,FDR-001,RR_Nagar,3.3,LT2-domestic,12.82364,77.419016
M00033,DT-400,FDR-001,RR_Nagar,31.2,LT5-commercial,12.823302,77.417857
M00034,DT-400,FDR-001,RR_Nagar,3.2,LT2-domestic,12.822881,77.417532
M00035,DT-400,FDR-001,RR_Nagar,42.9,LT5-commercial,12.822551,77.41873
M00036,DT-400,FDR-001,RR_Nagar,2.4,LT2-domestic,12.821669,77.417464
M00037,DT-400,FDR-001,RR_Nagar,2.4,LT2-domestic,12.821946,77.41979
M00038,DT-400,FDR-001,RR_Nagar,3.9,LT2-domestic,12.823946,77.419886
M00039,DT-400,FDR-001,RR_Nagar,21.9,LT5-commercial,12.821065,77.418566
M00040,DT-400,FDR-001,RR_Nagar,4.7,LT2-domestic,12.824777,77.418804
M00041,DT-400,FDR-001,RR_Nagar,3.9,LT2-domestic,12.823888,77.418185
M00042,DT-400,FDR-001,RR_Nagar,3.7,LT2-domestic,12.822373,77.420895
M00043,DT-400,FDR-001,RR_Nagar,2.5,LT2-domestic,12.823074,77.418499
M00044,DT-400,FDR-001,RR_Nagar,3.4,LT2-domestic,12.823133,77.418931
M00045,DT-400,FDR-001,RR_Nagar,1.2,LT2-domestic,12.822583,77.419152
M00046,DT-400,FDR-001,RR_Nagar,2.5,LT2-domestic,12.823236,77.418139
M00047,DT-400,FDR-001,RR_Nagar,2.2,LT2-domestic,12.822977,77.418443
M00048,DT-400,FDR-001,RR_Nagar,2.3,LT2-domestic,12.822908,77.419572
M00049,DT-400,FDR-001,RR_Nagar,45.2,LT5-commercial,12.822893,77.42027
M00050,DT-401,FDR-001,RR_Nagar,2.2,LT2-domestic,12.843357,77.43194
M00051,DT-401,FDR-001,RR_Nagar,3.6,LT2-domestic,12.843289,77.432246
M00052,DT-401,FDR-001,RR_Nagar,3.9,LT2-domestic,12.845241,77.430858
M00053,DT-401,FDR-001,RR_Nagar,2.5,LT2-domestic,12.843635,77.430896
M00054,DT-401,FDR-001,RR_Nagar,1.5,LT2-domestic,12.843392,77.432061
